Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/15/2020,03/14/2020,03/14/2020,By week,Hawaii,Week-ending,0,242,0.98,17,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Hawaii,Week-ending,0,209,0.94,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Hawaii,Week-ending,0,230,0.95,14,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Hawaii,Week-ending,,233,1,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Hawaii,Week-ending,,220,0.99,16,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Hawaii,Week-ending,,207,0.99,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Hawaii,Week-ending,,196,0.9,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Hawaii,Week-ending,,195,0.9,14,0,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Hawaii,Week-ending,0,114,0.51,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Idaho,Week-ending,0,249,0.88,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Idaho,Week-ending,0,293,1.04,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Idaho,Week-ending,0,279,0.89,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Idaho,Week-ending,0,318,1.1,17,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Idaho,Week-ending,0,289,0.99,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Idaho,Week-ending,0,278,0.96,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Idaho,Week-ending,0,284,1.04,18,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Idaho,Week-ending,0,308,1.03,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Idaho,Week-ending,,332,1.27,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Idaho,Week-ending,,271,0.94,15,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Idaho,Week-ending,21,303,1.06,17,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Idaho,Week-ending,11,280,1,13,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Idaho,Week-ending,12,257,0.99,15,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Idaho,Week-ending,,228,0.87,11,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Idaho,Week-ending,,201,0.78,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Illinois,Week-ending,0,2137,0.97,155,0,16,171,
05/15/2020,02/08/2020,02/08/2020,By week,Illinois,Week-ending,0,2228,0.98,157,0,10,167,
05/15/2020,02/15/2020,02/15/2020,By week,Illinois,Week-ending,0,2217,1.01,143,0,11,154,
05/15/2020,02/22/2020,02/22/2020,By week,Illinois,Week-ending,0,2203,1,143,0,14,157,
05/15/2020,02/29/2020,02/29/2020,By week,Illinois,Week-ending,0,2208,1.04,137,0,19,156,
05/15/2020,03/07/2020,03/07/2020,By week,Illinois,Week-ending,0,2246,1.06,169,0,27,196,
05/15/2020,03/14/2020,03/14/2020,By week,Illinois,Week-ending,,2179,1.03,165,,20,185,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Illinois,Week-ending,13,2264,1.05,165,,22,195,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Illinois,Week-ending,67,2278,1.09,229,42,16,269,
05/15/2020,04/04/2020,04/04/2020,By week,Illinois,Week-ending,273,2583,1.23,349,159,,469,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Illinois,Week-ending,432,2809,1.36,405,234,,608,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Illinois,Week-ending,522,2777,1.39,468,292,,702,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Illinois,Week-ending,512,2732,1.36,376,249,,640,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Illinois,Week-ending,366,2249,1.11,309,185,0,490,
05/15/2020,05/09/2020,05/09/2020,By week,Illinois,Week-ending,59,1248,0.64,96,33,0,122,
05/15/2020,02/01/2020,02/01/2020,By week,Indiana,Week-ending,0,1365,0.99,95,0,,102,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Indiana,Week-ending,0,1357,0.95,106,0,10,116,
05/15/2020,02/15/2020,02/15/2020,By week,Indiana,Week-ending,0,1411,1.05,92,0,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Indiana,Week-ending,0,1393,1.01,105,0,13,118,
05/15/2020,02/29/2020,02/29/2020,By week,Indiana,Week-ending,0,1433,1.08,105,0,17,122,
05/15/2020,03/07/2020,03/07/2020,By week,Indiana,Week-ending,0,1343,1,94,0,14,108,
05/15/2020,03/14/2020,03/14/2020,By week,Indiana,Week-ending,,1376,1.02,112,0,15,128,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Indiana,Week-ending,15,1297,0.98,93,,13,113,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Indiana,Week-ending,47,1433,1.07,129,23,14,166,
05/15/2020,04/04/2020,04/04/2020,By week,Indiana,Week-ending,131,1520,1.15,215,78,,273,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Indiana,Week-ending,209,1561,1.2,231,109,,334,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Indiana,Week-ending,231,1405,1.12,205,107,0,329,
05/15/2020,04/25/2020,04/25/2020,By week,Indiana,Week-ending,247,1417,1.14,200,98,,350,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Indiana,Week-ending,170,1149,0.92,157,70,,260,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Indiana,Week-ending,37,670,0.53,44,16,0,65,
05/15/2020,02/01/2020,02/01/2020,By week,Iowa,Week-ending,0,612,0.97,54,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Iowa,Week-ending,0,633,1.02,42,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Iowa,Week-ending,0,595,0.92,36,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Iowa,Week-ending,0,639,1,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Iowa,Week-ending,0,638,1.05,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Iowa,Week-ending,0,614,1.02,42,0,13,55,
05/15/2020,03/14/2020,03/14/2020,By week,Iowa,Week-ending,0,628,1.03,51,0,17,68,
05/15/2020,03/21/2020,03/21/2020,By week,Iowa,Week-ending,0,588,0.95,35,0,16,51,
05/15/2020,03/28/2020,03/28/2020,By week,Iowa,Week-ending,,588,1.01,51,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Iowa,Week-ending,16,596,1.02,56,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Iowa,Week-ending,21,576,0.97,39,,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Iowa,Week-ending,35,604,1.04,44,,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Iowa,Week-ending,43,526,0.91,38,,0,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Iowa,Week-ending,47,516,0.87,29,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Iowa,Week-ending,22,313,0.56,23,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Kansas,Week-ending,0,546,0.98,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Kansas,Week-ending,0,503,0.91,26,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Kansas,Week-ending,0,572,1,38,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Kansas,Week-ending,0,557,0.98,36,0,10,46,
05/15/2020,02/29/2020,02/29/2020,By week,Kansas,Week-ending,0,539,0.99,32,0,14,46,
05/15/2020,03/07/2020,03/07/2020,By week,Kansas,Week-ending,0,573,1.02,41,0,14,55,
05/15/2020,03/14/2020,03/14/2020,By week,Kansas,Week-ending,,519,0.94,47,0,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Kansas,Week-ending,,511,0.95,27,0,15,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Kansas,Week-ending,,515,0.99,41,,,46,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Kansas,Week-ending,21,540,1.07,41,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Kansas,Week-ending,32,510,1,56,13,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Kansas,Week-ending,38,531,1.09,42,20,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Kansas,Week-ending,12,509,1.06,35,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Kansas,Week-ending,15,458,0.94,24,,0,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Kansas,Week-ending,,332,0.67,18,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Kentucky,Week-ending,0,970,0.98,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Kentucky,Week-ending,0,945,0.94,92,0,10,102,
05/15/2020,02/15/2020,02/15/2020,By week,Kentucky,Week-ending,0,941,0.97,77,0,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Kentucky,Week-ending,0,973,0.97,80,0,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Kentucky,Week-ending,,993,1,86,,10,96,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Kentucky,Week-ending,0,964,0.96,75,0,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Kentucky,Week-ending,0,977,1.02,85,0,14,99,
05/15/2020,03/21/2020,03/21/2020,By week,Kentucky,Week-ending,,892,0.93,76,,13,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Kentucky,Week-ending,,878,0.91,72,,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Kentucky,Week-ending,43,970,1.04,108,28,,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Kentucky,Week-ending,43,907,0.96,97,26,,118,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Kentucky,Week-ending,46,812,0.87,79,22,0,103,
05/15/2020,04/25/2020,04/25/2020,By week,Kentucky,Week-ending,44,692,0.74,81,21,,105,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Kentucky,Week-ending,12,522,0.58,35,,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Kentucky,Week-ending,,248,0.27,20,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Louisiana,Week-ending,0,964,1,41,0,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Louisiana,Week-ending,0,937,0.96,35,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Louisiana,Week-ending,0,921,0.99,41,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Louisiana,Week-ending,0,909,0.98,35,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Louisiana,Week-ending,0,966,1.1,43,0,11,54,
05/15/2020,03/07/2020,03/07/2020,By week,Louisiana,Week-ending,,926,1.05,48,,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Louisiana,Week-ending,0,918,1,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Louisiana,Week-ending,35,871,0.96,67,19,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Louisiana,Week-ending,165,1131,1.26,111,57,,223,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Louisiana,Week-ending,324,1223,1.35,194,131,,388,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Louisiana,Week-ending,374,1302,1.54,209,163,,421,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Louisiana,Week-ending,276,1083,1.28,175,133,,320,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Louisiana,Week-ending,188,849,0.94,122,91,,219,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Louisiana,Week-ending,95,594,0.7,71,47,,120,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Louisiana,Week-ending,38,268,0.3,38,28,0,48,
05/15/2020,02/01/2020,02/01/2020,By week,Maine,Week-ending,0,288,1.04,19,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Maine,Week-ending,0,316,1.07,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Maine,Week-ending,0,329,1.14,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Maine,Week-ending,0,299,0.99,18,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Maine,Week-ending,0,292,1.04,25,0,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Maine,Week-ending,0,313,1.03,30,0,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Maine,Week-ending,0,301,0.98,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Maine,Week-ending,0,277,0.95,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Maine,Week-ending,,279,0.9,31,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Maine,Week-ending,,300,1,35,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Maine,Week-ending,10,304,1,31,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Maine,Week-ending,10,310,1.12,23,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Maine,Week-ending,17,280,0.95,16,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Maine,Week-ending,,272,1.02,13,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Maine,Week-ending,,237,0.89,15,0,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Maryland,Week-ending,0,1034,0.99,68,0,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Maryland,Week-ending,0,1003,0.95,62,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Maryland,Week-ending,0,1018,0.99,71,0,12,83,
05/15/2020,02/22/2020,02/22/2020,By week,Maryland,Week-ending,0,967,0.94,62,0,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Maryland,Week-ending,0,1071,1.05,75,0,10,85,
05/15/2020,03/07/2020,03/07/2020,By week,Maryland,Week-ending,0,1042,1.04,79,0,11,90,
05/15/2020,03/14/2020,03/14/2020,By week,Maryland,Week-ending,0,1004,1,65,0,13,78,
05/15/2020,03/21/2020,03/21/2020,By week,Maryland,Week-ending,,1054,1.06,81,,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Maryland,Week-ending,18,1087,1.08,101,10,10,119,
05/15/2020,04/04/2020,04/04/2020,By week,Maryland,Week-ending,91,1176,1.19,153,44,,206,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Maryland,Week-ending,214,1331,1.33,178,89,10,309,
05/15/2020,04/18/2020,04/18/2020,By week,Maryland,Week-ending,289,1316,1.39,204,117,,377,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Maryland,Week-ending,333,1394,1.49,173,103,,404,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Maryland,Week-ending,278,1185,1.24,154,95,,338,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Maryland,Week-ending,94,701,0.77,68,34,0,128,
05/15/2020,02/01/2020,02/01/2020,By week,Massachusetts,Week-ending,0,1200,0.94,104,0,14,118,
05/15/2020,02/08/2020,02/08/2020,By week,Massachusetts,Week-ending,0,1231,0.97,92,0,13,105,
05/15/2020,02/15/2020,02/15/2020,By week,Massachusetts,Week-ending,0,1248,0.95,92,0,15,107,
05/15/2020,02/22/2020,02/22/2020,By week,Massachusetts,Week-ending,,1164,0.94,87,0,17,105,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Massachusetts,Week-ending,0,1275,1.02,100,0,21,121,
05/15/2020,03/07/2020,03/07/2020,By week,Massachusetts,Week-ending,,1213,0.99,86,0,16,103,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Massachusetts,Week-ending,0,1305,1.13,93,0,15,108,
05/15/2020,03/21/2020,03/21/2020,By week,Massachusetts,Week-ending,,1163,1.01,107,,11,121,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Massachusetts,Week-ending,44,1279,1.06,133,17,11,169,
05/15/2020,04/04/2020,04/04/2020,By week,Massachusetts,Week-ending,216,1535,1.28,251,115,11,362,
05/15/2020,04/11/2020,04/11/2020,By week,Massachusetts,Week-ending,612,2006,1.7,365,229,,750,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Massachusetts,Week-ending,1030,2401,2.09,471,336,,1169,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Massachusetts,Week-ending,1060,2337,2.1,505,383,,1183,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Massachusetts,Week-ending,802,1901,1.67,361,280,,884,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Massachusetts,Week-ending,337,1115,1.03,186,131,0,392,
05/15/2020,02/01/2020,02/01/2020,By week,Michigan,Week-ending,0,1999,1.02,116,0,12,128,
05/15/2020,02/08/2020,02/08/2020,By week,Michigan,Week-ending,0,1929,0.95,132,0,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Michigan,Week-ending,0,2007,1.02,110,0,18,128,
05/15/2020,02/22/2020,02/22/2020,By week,Michigan,Week-ending,0,2051,1.04,131,0,27,158,
05/15/2020,02/29/2020,02/29/2020,By week,Michigan,Week-ending,0,1958,0.98,99,0,26,125,
05/15/2020,03/07/2020,03/07/2020,By week,Michigan,Week-ending,0,1965,0.99,110,0,26,136,
05/15/2020,03/14/2020,03/14/2020,By week,Michigan,Week-ending,,1929,0.98,132,,25,157,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Michigan,Week-ending,16,1984,1.03,130,,30,170,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Michigan,Week-ending,202,2351,1.22,267,100,23,392,
05/15/2020,04/04/2020,04/04/2020,By week,Michigan,Week-ending,591,2956,1.51,540,314,17,832,
05/15/2020,04/11/2020,04/11/2020,By week,Michigan,Week-ending,808,3129,1.62,607,402,,1021,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Michigan,Week-ending,775,2859,1.55,560,407,,932,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Michigan,Week-ending,530,2402,1.28,377,245,,663,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Michigan,Week-ending,342,2079,1.14,254,161,,437,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Michigan,Week-ending,96,1166,0.64,109,46,,161,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
